code;name;description
A1.17;A 1.17;mechanisch geventileerde stal met een chemisch luchtwassysteem 
A4.1;A 4.1;mechanisch geventileerde stal met een chemisch luchtwassysteem met 90% emissiereductie 
A4.2;A 4.2;mechanisch geventileerde stal met een biologisch luchtwassysteem met 70% emissiereductie 
A4.3;A 4.3;mechanisch geventileerde stal met een chemisch luchtwassysteem met 70% emissiereductie 
A4.4;A 4.4;mechanisch geventileerde stal met een chemisch luchtwassysteem met 95% emissiereductie 
A4.5.1;A 4.5.1;"mechanisch geventileerde stal met een luchtwassysteem anders dan biologisch of chemisch; mechanisch geventileerde stal met een gecombineerd luchtwassysteem 85% emissiereductie met chemische wasser (lamellenfilter) en waterwasser "
A4.5.2;A 4.5.2;"mechanisch geventileerde stal met een luchtwassysteem anders dan biologisch of chemisch; mechanisch geventileerde stal met een gecombineerd luchtwassysteem 70% emissiereductie met waterwasser, chemische wasser en biofilter "
A4.5.3;A 4.5.3;"mechanisch geventileerde stal met een luchtwassysteem anders dan biologisch of chemisch; mechanisch geventileerde stal met een gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, chemische wasser en biofilter "
A4.5.4;A 4.5.4;"mechanisch geventileerde stal met een luchtwassysteem anders dan biologisch of chemisch; mechanisch geventileerde stal met een gecombineerd luchtwassysteem 85% emissiereductie met watergordijn en biologische wasser "
A4.5.5;A 4.5.5;"mechanisch geventileerde stal met een luchtwassysteem anders dan biologisch of chemisch; mechanisch geventileerde stal met een gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, biologische wasser en geurverwijderingssectie "
A4.5.6;A 4.5.6;"mechanisch geventileerde stal met een luchtwassysteem anders dan biologisch of chemisch; mechanisch geventileerde stal met een gecombineerd luchtwassysteem 90% emissiereductie met een biologische en een chemische wasser en een biofilter "
A4.6;A 4.6;mechanisch geventileerde stal met een biologisch luchtwassysteem 85% emissiereductie 
D1.1.10;D 1.1.10;chemisch luchtwassysteem 70% emissiereductie 
D1.1.14;D 1.1.14;chemisch luchtwassysteem 95% emissiereductie 
D1.1.15.1;D 1.1.15.1;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met chemische wasser (lamellenfilter) en waterwasser "
D1.1.15.2;D 1.1.15.2;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 70% emissiereductie met waterwasser, chemische wasser en biofilter "
D1.1.15.3;D 1.1.15.3;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, chemische wasser en biofilter "
D1.1.15.4;D 1.1.15.4;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met watergordijn en biologische wasser "
D1.1.15.5;D 1.1.15.5;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, biologische wasser en geurverwijderingssectie "
D1.1.15.6;D 1.1.15.6;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 90% emissiereductie met een biologische en een chemische wasser en een biofilter "
D1.1.16;D 1.1.16;biologisch luchtwassysteem 85% emissiereductie 
D1.1.17;D 1.1.17;chemisch luchtwassysteem 90% emissiereductie 
D1.1.9;D 1.1.9;biologisch luchtwassysteem 70% emissiereductie 
D1.2.10;D 1.2.10;biologisch luchtwassysteem 70% emissiereductie 
D1.2.11;D 1.2.11;chemisch luchtwassysteem 70% emissiereductie 
D1.2.15;D 1.2.15;chemisch luchtwassysteem 95% emissiereductie 
D1.2.17.1;D 1.2.17.1;gecombineerd luchtwassysteem 85% emissiereductie met chemische wasser (lamellenfilter) en waterwasser 
D1.2.17.2;D 1.2.17.2;gecombineerd luchtwassysteem 70% emissiereductie met waterwasser, chemische wasser en biofilter 
D1.2.17.3;D 1.2.17.3;gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, chemische wasser en biofilter 
D1.2.17.4;D 1.2.17.4;gecombineerd luchtwassysteem 85% emissiereductie met watergordijn en biologische wasser 
D1.2.17.5;D 1.2.17.5;gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, biologische wasser en geurverwijderingssectie 
D1.2.17.6;D 1.2.17.6;gecombineerd luchtwassysteem 90% emissiereductie met een biologische en een chemische wasser en een biofilter 
D1.2.18;D 1.2.18;biologisch luchtwassysteem 85% emissiereductie 
D1.2.19;D 1.2.19;chemisch luchtwassysteem 90% emissiereductie 
D1.3.11;D 1.3.11;chemisch luchtwassysteem 95% emissiereductie bij individuele en groepshuisvesting 
D1.3.12.1;D 1.3.12.1;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met chemische wasser (lamellenfilter) en waterwasser "
D1.3.12.2;D 1.3.12.2;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 70% emissiereductie met waterwasser, chemische wasser en biofilter "
D1.3.12.3;D 1.3.12.3;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, chemische wasser en biofilter "
D1.3.12.4;D 1.3.12.4;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met watergordijn en biologische wasser "
D1.3.12.5;D 1.3.12.5;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, biologische wasser en geurverwijderingssectie "
D1.3.12.6;D 1.3.12.6;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 90% emissiereductie met een biologische en een chemische wasser en een biofilter "
D1.3.13;D 1.3.13;biologisch luchtwassysteem 85% emissiereductie 
D1.3.14;D 1.3.14 ;chemisch luchtwassysteem 90% emissiereductie 
D1.3.6;D 1.3.6;biologisch luchtwassysteem 70% emissiereductie (bij individuele en groepshuisvesting) 
D1.3.7;D 1.3.7;chemisch luchtwassysteem 70% emissiereductie (bij individuele en groepshuisvesting)
D2.1;D 2.1;biologisch luchtwassysteem 70% emissiereductie 
D2.2;D 2.2;chemisch luchtwassysteem 70% emissiereductie 
D2.3;D 2.3;chemisch luchtwassysteem 95% emissiereductie 
D2.4.1;D 2.4.1;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met chemische wasser (lamellenfilter) en waterwasser "
D2.4.2;D 2.4.2;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 70% emissiereductie met waterwasser, chemische wasser en biofilter "
D2.4.3;D 2.4.3;"luchtwassystemen anders dan biologisch of chemisch; gecombineerd luchtwassysteem 85% emissiereductie met waterwasser, chemische wasser en biofilter "
