code;name;description
PHA;Woningen (nieuwbouw): Appartement;Woningen (nieuwbouw) - Appartement
PHB;Woningen (nieuwbouw): Tussenwoning;Woningen (nieuwbouw) - Tussenwoning
PHC;Woningen (nieuwbouw): Hoekwoning;Woningen (nieuwbouw) - Hoekwoning
PHD;Woningen (nieuwbouw): Twee-onder-één-kap;Woningen (nieuwbouw) - Twee-onder-één-kap
PHE;Woningen (nieuwbouw): Vrijstaande woning;Woningen (nieuwbouw) - Vrijstaande woning
POA;Kantoren en winkels;Kantoren en winkels
PGA;Glastuinbouw;Glastuinbouw
PEA;Electriciteitcentrale;Electriciteitcentrale
PIA;Industrie: Bouwmaterialen;Industrie - Bouwmaterialen
PIB;Industrie: Metaal industrie;Industrie - Metaal industrie
PIC;Industrie: Chemische Industrie;Industrie - Chemische Industrie
PWA;Afvalverwerking;Afvalverwerking
PFA;Voedings- en genotmiddelen;Voedings- en genotmiddelen
