code;name;description
Drenthe;Provincie Drenthe;Provincie Drenthe
Flevoland;Provincie Flevoland;Provincie Flevoland
Friesland;Provincie Fryslân;Provincie Fryslân
Gelderland;Provincie Gelderland;Provincie Gelderland
Groningen;Provincie Groningen;Provincie Groningen
Limburg;Provincie Limburg;Provincie Limburg
NoordBrabant;Provincie Noord-Brabant;Provincie Noord-Brabant
NoordHolland;Provincie Noord-Holland;Provincie Noord-Holland
Overijssel;Provincie Overijssel;Provincie Overijssel
Utrecht;Provincie Utrecht;Provincie Utrecht
Zeeland;Provincie Zeeland;Provincie Zeeland
ZuidHolland;Provincie Zuid-Holland;Provincie Zuid-Holland
MinEZ;Ministerie van Economische Zaken;Ministerie van Economische Zaken
MinIenM;Ministerie van Infrastructuur en Milieu;Ministerie van Infrastructuur en Milieu
MinDef;Ministerie van Defensie;Ministerie van Defensie
