code;name;description
PEA;Electriciteitcentrale;Electriciteitcentrale
PFA;Voedings- en genotmiddelen;Voedings- en genotmiddelen
PGA;Glastuinbouw;Glastuinbouw
PHA;Woningen (nieuwbouw): Appartement;Woningen (nieuwbouw) - Appartement
PHB;Woningen (nieuwbouw): Tussenwoning;Woningen (nieuwbouw) - Tussenwoning
PHC;Woningen (nieuwbouw): Hoekwoning;Woningen (nieuwbouw) - Hoekwoning
PHD;Woningen (nieuwbouw): Twee-onder-één-kap;Woningen (nieuwbouw) - Twee-onder-één-kap
PHE;Woningen (nieuwbouw): Vrijstaande woning;Woningen (nieuwbouw) - Vrijstaande woning
PIA;Industrie: Bouwmaterialen;Industrie - Bouwmaterialen
PIB;Industrie: Metaal industrie;Industrie - Metaal industrie
PIC;Industrie: Chemische Industrie;Industrie - Chemische Industrie
POA;Kantoren en winkels;Kantoren en winkels
PWA;Afvalverwerking;Afvalverwerking
