code;name;description
BI;BI;Duwstel – BI (Europa I)
BII-1;BII-1;Duwstel - BII-1 (Europa II)
BII-2B;BII-2B;Duwstel - BII-2b (2-baksduwstel breed)
BII-2L;BII-2L;Duwstel - BII-2l (2-baksduwstel lang)
BII-4;BII-4;Duwstel - BII-4 (4-baksduwstel - inclusief 3-baks lang)
BII-6B;BII-6B;Duwstel - BII-6b  (6-baksduwstel breed)
BII-6L;BII-6L;Duwstel - BII-6l (6-baksduwstel lang)
BO1;BO1;Duwstel - BO1 (5,2 x 55 m)
BO2;BO2;Duwstel - BO2 (6,6 x 60-70 m)
BO3;BO3;Duwstel - BO3 (7,5 x 80 m)
BO4;BO4;Duwstel - BO4 (8,2 x 85 m)
C1B;C1B;Koppelverband - C1b (2 spitsen breed)
C1L;C1L;Koppelverband - C1l (2 spitsen lang)
C2B;C2B;Koppelverband - C2b (Klasse IV en Europa I breed)
C2L;C2L;Koppelverband - C2l (Klasse IV en Europa I lang)
C3B;C3B;Koppelverband - C3b (Klasse Va en Europa II breed)
C3L;C3L;Koppelverband - C3l (Klasse Va en Europa II lang)
C4;C4;Koppelverband - C4 (Klasse Va en 3 Europa II)
M0;M0;Motorvrachtschip - M0  (Overig)
M1;M1;Motorvrachtschip - M1  (Spits)
M10;M10;Motorvrachtschip - M10 (13,5 x 110 m)
M11;M11;Motorvrachtschip - M11 (14,5 x 110 m)
M12;M12;Motorvrachtschip - M12 (Rijnmax Schip 17,0 x 135 m)
M2;M2;Motorvrachtschip - M2  (Kempenaar)
M3;M3;Motorvrachtschip - M3 (Hagenaar)
M4;M4;Motorvrachtschip - M4  (Dortmund Eems)
M5;M5;Motorvrachtschip - M5  (Verlengd Dortmund Eems)
M6;M6;Motorvrachtschip - M6  (Rijn Herne Schip)
M7;M7;Motorvrachtschip - M7  (Verlengd Rijn Herne Schip)
M8;M8;Motorvrachtschip - M8  (Groot Rijnschip)
M9;M9;Motorvrachtschip - M9  (Verlengd Groot Rijnschip)
