code	name	description
E6.1.a	E 6.1.a	mestdroogsystemen met geperforeerde doek; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.1.b	E 6.1.b	mestdroogsystemen met geperforeerde doek; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.10.a	E 6.10.a	biothermisch drogen van pluimveemest met chemisch luchtwassysteem 90% emissiereductie; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.10.b	E 6.10.b	biothermisch drogen van pluimveemest met chemisch luchtwassysteem 90% emissiereductie; geldt voor de huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.2.a	E 6.2.a	droogtunnel met oppervlaktedroging (dichte banden); geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.2.b	E 6.2.b	droogtunnel met oppervlaktedroging (dichte banden); geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.3.a	E 6.3.a	lucht uit een composteringsunit met chemische luchtwassing; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.3.b	E 6.3.b	lucht uit een composteringsunit met chemische luchtwassing; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.4.1.a	E 6.4.1.a	droogtunnel; droogtunnel met geperforeerde banden; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.4.1.b	E 6.4.1.b	droogtunnel; droogtunnel met geperforeerde banden; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.4.2.a	E 6.4.2.a	droogtunnel; droogtunnel met geperforeerde metalen platen; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.4.2.b	E 6.4.2.b	droogtunnel; droogtunnel met geperforeerde metalen platen; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.5.a	E 6.5.a	mestopslagloods met biologisch luchtwassysteem 70% emissiereductie; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.5.b	E 6.5.b	mestopslagloods met biologisch luchtwassysteem 70% emissiereductie; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.6.a	E 6.6.a	mestopslagloods met chemisch luchtwassysteem 70% emissiereductie; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.6.b	E 6.6.b	mestopslagloods met chemisch luchtwassysteem 70% emissiereductie; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.7.a	E 6.7.a	mestopslagloods met chemisch luchtwassysteem 90% emissiereductie; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.7.b	E 6.7.b	mestopslagloods met chemisch luchtwassysteem 90% emissiereductie; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.8.a	E 6.8.a	Afgesloten mestopslagloods; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.8.b	E 6.8.b	Afgesloten mestopslagloods; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
E6.9.a	E 6.9.a	biothermisch drogen van pluimveemest met chemisch luchtwassysteem 70% emissiereductie; geldt voor geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3
E6.9.b	E 6.9.b	biothermisch drogen van pluimveemest met chemisch luchtwassysteem 70% emissiereductie; geldt voor geldt voor de huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8
