code	name	description
93.03.002	93.03.002	93.03.002
BB93.03.001	BB 93.03.001	BB 93.03.001
BB93.03.002/A94.04.017	BB 93.03.002/A 94.04.017	BB 93.03.002/A 94.04.017
BB93.03.002/B96.04.034	BB 93.03.002/B 96.04.034	BB 93.03.002/B 96.04.034
BB93.03.002/C96.10.048	BB 93.03.002/C 96.10.048	BB 93.03.002/C 96.10.048
BB93.03.003	BB 93.03.003	BB 93.03.003
BB93.03.003/A93.04.004	BB 93.03.003/A 93.04.004	BB 93.03.003/A 93.04.004
BB93.03.003/B93.04.005	BB 93.03.003/B 93.04.005	BB 93.03.003/B 93.04.005
BB93.03.003/C93.04.006	BB 93.03.003/C 93.04.006	BB 93.03.003/C 93.04.006
BB93.03.003/D94.06.020	BB 93.03.003/D 94.06.020	BB 93.03.003/D 94.06.020
BB93.06.007	BB 93.06.007	BB 93.06.007
BB93.06.008	BB 93.06.008	BB 93.06.008
BB93.06.009	BB 93.06.009	BB 93.06.009
BB93.06.010	BB 93.06.010	BB 93.06.010
BB93.11.011	BB 93.11.011	BB 93.11.011
BB93.11.011/A95.04.024	BB 93.11.011/A 95.04.024	BB 93.11.011/A 95.04.024
BB93.11.012	BB 93.11.012	BB 93.11.012
BB93.11.012/A99.11.077	BB 93.11.012/A 99.11.077	BB 93.11.012/A 99.11.077
BB94.02.013	BB 94.02.013	BB 94.02.013
BB94.02.014	BB 94.02.014	BB 94.02.014
BB94.02.015	BB 94.02.015	BB 94.02.015
BB94.04.016	BB 94.04.016	BB 94.04.016
BB94.04.016/A96.10.047	BB 94.04.016/A 96.10.047	BB 94.04.016/A 96.10.047
BB94.04.018	BB 94.04.018	BB 94.04.018
BB94.06.019	BB 94.06.019	BB 94.06.019
BB94.06.021	BB 94.06.021	BB 94.06.021
BB94.06.021/A97.01.049	BB 94.06.021/A 97.01.049	BB 94.06.021/A 97.01.049
BB95.02.025	BB 95.02.025	BB 95.02.025
BB95.02.027	BB 95.02.027	BB 95.02.027
BB95.06.026	BB 95.06.026	BB 95.06.026
