code	name	description
A1.1	A 1.1	grupstal met drijfmest, emitterend mestoppervlak van grup en kelder max. 1,2 m2 per koe
A1.10	A 1.10	ligboxenstal met roostervloer voorzien van een bolle rubber toplaag, met mestschuif
A1.100	A 1.100	overige huisvestingssystemen
A1.11	A 1.11	ligboxenstal met geprofileerde vlakke vloer met hellende sleuven, regelmatige mestafstorten en met een mestschuif
A1.12	A 1.12	ligboxenstal met geprofileerde vlakke vloer met hellende sleuven, regelmatige mestafstorten en mestschuif
A1.13	A 1.13	ligboxenstal met roostervloer voorzien van cassettes in de roosterspleten en mestschuif
A1.14	A 1.14	ligboxenstal met geprofileerde vlakke vloer met hellende sleuven, regelmatige mestafstorten voorzien van afdichtflappen, met mestschuif
A1.15	A 1.15	ligboxenstal met geprofileerde vlakke vloer met hellende sleuven, regelmatige mestafstorten voorzien van emissiereductiekleppen en met mestschuif
A1.16	A 1.16	ligboxenstal met V-vormige vloer van gietasfalt in combinatie met een gierafvoerbuis en met mestschuif
A1.17	A 1.17	mechanisch geventileerde stal met een chemisch luchtwassysteem
A1.18	A 1.18	ligboxenstal met V-vormige vloer van geprofileerde vloerelementen in combinatie met een gierafvoerbuis en met mestschuif
A1.19	A 1.19	ligboxenstal met roostervloer met hellende groeven of hellend gelegd, voorzien van afdichtkleppen in de roosterspleten en met mestschuif
A1.2	A 1.2	loopstal met hellende vloer en giergoot of met roostervloer; beide met spoelsysteem
A1.20	A 1.20	ligboxenstal met vloer voorzien van perforaties en hellende profilering en mestschuif
A1.21	A 1.21	ligboxenstal met vlakke vloerplaten met tegelprofiel, hellende sleuven en regelmatige mestafstorten voorzien van afdichtflappen of -kleppen en mestschuif
A1.22	A 1.22	ligboxenstal met sleufvloer en mestschuif en in de doorsteken, wachtruimte en doorlopen een roostervloer met bolle rubber toplaag voorzien van afdichtflappen in de roosterspleten
A1.23	A 1.23	ligboxenstal met geprofileerde vloerplaten met sterk hellende langssleuven met urineafvoergat en hellende dwarsgroeven, aaneengesloten gelegd of gescheiden door mestafstorten voorzien van emissiereductiekleppen, met mestschuif
A1.24	A 1.24	ligboxenstal met vloer met sterk hellende langssleuven, de vloerplaten aaneengesloten gelegd of gescheiden door mestafstorten voorzien van afdichtflappen, met mestschuif
A1.25	A 1.25	ligboxenstal met vlakke vloer, voorzien van geprofileerde rubber matten met een hellend profiel naar regelmatige mestafstorten voorzien van afdichtflappen, met mestschuif
A1.26	A 1.26	ligboxenstal met hellende V-vormige vloer, voorzien van geprofileerde rubber matten, met centrale giergoot en mestschuif
A1.27	A 1.27	ligboxenstal met roostervloer met hellende groeven of hellend gelegd, voorzien van afdichtkleppen in de roosterspleten, met mestschuif en vernevelsysteem
A1.28	A 1.28	ligboxenstal met roostervloer, voorzien van rubber matten en composiet nokken met een hellend profiel, kunststofcassettes met kleppen in de roosterspleten en met mestschuif
A1.29	A 1.29	ligboxenstal met geprofileerde hellende vloer met holtes voor gieropvang en -afvoer aan de zijkant en met mestschuif
A1.3	A 1.3	loopstal met hellende vloer en giergoot; max. 3 m2 mestbesmeurd oppervlak per koe
A1.30	A 1.30	ligboxenstal met roostervloer voorzien van bolle rubberen matten, met mestschuif
A1.31	A 1.31	ligboxenstal met sleufvloer met dichte hellende vloer met geprofileerde rubber tegels, met mestschuif
A1.32	A 1.32	ligboxenstal met vlakke betonnen vloerplaten met sleuven, voorzien van profiel met 1% hellende groeven richting een centrale giergoot met giergaten en mestverwijdering
A1.33	A 1.33	ligboxenstal met vlakke vloer, voorzien van rubberen sleufvloer met 3% hellende langssleuven en geprofileerd rubber (hellende V-vorm) met groeven en nopjes tussen de langssleuven, met mestschuif
A1.34	A 1.34	ligboxenstal met dichte gegroefde vloer met rubber matten met een hellend profiel, aangebrachte composietnokken met een mestschuif met vingers
A1.35	A 1.35	ligboxenstal met vlakke vloer voorzien van rubberen sleufvloer, met vlakke langssleuven en geprofileerd rubber (hellende V-vorm) met groeven en nopjes tussen de langssleuven, met vingermestschuif
