code	name	description
Drenthe	Provincie Drenthe	Provincie Drenthe
Flevoland	Provincie Flevoland	Provincie Flevoland
Fryslân	Provincie Fryslân	Provincie Fryslân
Gelderland	Provincie Gelderland	Provincie Gelderland
Groningen	Provincie Groningen	Provincie Groningen
Limburg	Provincie Limburg	Provincie Limburg
MinDef	Ministerie van Defensie	Ministerie van Defensie
MinIenW	Ministerie van Infrastructuur en Waterstaat	Ministerie van Infrastructuur en Waterstaat
MinLNV	Ministerie van Landbouw, Natuur en Voedselkwaliteit	Ministerie van Landbouw, Natuur en Voedselkwaliteit
NoordBrabant	Provincie Noord-Brabant	Provincie Noord-Brabant
NoordHolland	Provincie Noord-Holland	Provincie Noord-Holland
Overijssel	Provincie Overijssel	Provincie Overijssel
Utrecht	Provincie Utrecht	Provincie Utrecht
Zeeland	Provincie Zeeland	Provincie Zeeland
ZuidHolland	Provincie Zuid-Holland	Provincie Zuid-Holland
