code	name	description
BABBEUR0	Autobus - benzine - pre Euro wetgeving (< 1992)	Autobus - benzine - pre Euro wetgeving (< 1992)
BABCEEV5	Autobus - CNG - Euro-5 EEV (fijnstof eis)	Autobus - CNG - Euro-5 EEV (fijnstof eis)
BABCEUR4	Autobus - CNG - Euro-4	Autobus - CNG - Euro-4
BABCEUR5	Autobus - CNG - Euro-5	Autobus - CNG - Euro-5
BABCEUR6	Autobus - CNG - Euro-6	Autobus - CNG - Euro-6
BABDEEV5SCR	Autobus - diesel - Euro-5 EEV (fijnstof eis) - SCR	Autobus - diesel - Euro-5 EEV (fijnstof eis) - SCR
BABDEUR0	Autobus - diesel - pre Euro wetgeving (< 1992)	Autobus - diesel - pre Euro wetgeving (< 1992)
BABDEUR1	Autobus - diesel - Euro-1	Autobus - diesel - Euro-1
BABDEUR2	Autobus - diesel - Euro-2	Autobus - diesel - Euro-2
BABDEUR2DPF	Autobus - diesel - Euro-2 - DPF	Autobus - diesel - Euro-2 - DPF
BABDEUR2HOF	Autobus - diesel - Euro-2 - halfopen filter	Autobus - diesel - Euro-2 - halfopen filter
BABDEUR3	Autobus - diesel - Euro-3	Autobus - diesel - Euro-3
BABDEUR3DPF	Autobus - diesel - Euro-3 - DPF	Autobus - diesel - Euro-3 - DPF
BABDEUR3DPFSCR	Autobus - diesel - Euro-3 - DPF - SCR	Autobus - diesel - Euro-3 - DPF - SCR
BABDEUR3HOF	Autobus - diesel - Euro-3 - halfopen filter	Autobus - diesel - Euro-3 - halfopen filter
BABDEUR4	Autobus - diesel - Euro-4	Autobus - diesel - Euro-4
BABDEUR4EGR	Autobus - diesel - Euro-4 - EGR	Autobus - diesel - Euro-4 - EGR
BABDEUR4SCR	Autobus - diesel - Euro-4 - SCR	Autobus - diesel - Euro-4 - SCR
BABDEUR5EGR	Autobus - diesel - Euro-5 - EGR	Autobus - diesel - Euro-5 - EGR
BABDEUR5SCR	Autobus - diesel - Euro-5 - SCR	Autobus - diesel - Euro-5 - SCR
BABDEUR6	Autobus - diesel - Euro-6	Autobus - diesel - Euro-6
BABDPR82	Autobus - diesel - pre Euro wetgeving (< 1982)	Autobus - diesel - pre Euro wetgeving (< 1982)
BABEZEEV	Autobus - elektrisch	Autobus - elektrisch
BABHZEEV	Autobus - waterstof	Autobus - waterstof
BABLEUR0	Autobus - LPG - pre Euro wetgeving (< 1992)	Autobus - LPG - pre Euro wetgeving (< 1992)
LBAB1982	Bestelauto - benzine - pre Euro wetgeving (1982)	Bestelauto - benzine - pre Euro wetgeving (1982)
LBAB1983	Bestelauto - benzine - pre Euro wetgeving (1983)	Bestelauto - benzine - pre Euro wetgeving (1983)
LBAB1984	Bestelauto - benzine - pre Euro wetgeving (1984)	Bestelauto - benzine - pre Euro wetgeving (1984)
LBAB1985	Bestelauto - benzine - pre Euro wetgeving (1985)	Bestelauto - benzine - pre Euro wetgeving (1985)
LBAB1986	Bestelauto - benzine - pre Euro wetgeving (1986)	Bestelauto - benzine - pre Euro wetgeving (1986)
LBAB1987	Bestelauto - benzine - pre Euro wetgeving (1987)	Bestelauto - benzine - pre Euro wetgeving (1987)
LBAB1988	Bestelauto - benzine - pre Euro wetgeving (1988)	Bestelauto - benzine - pre Euro wetgeving (1988)
LBAB1989	Bestelauto - benzine - pre Euro wetgeving (1989)	Bestelauto - benzine - pre Euro wetgeving (1989)
LBAB1990	Bestelauto - benzine - pre Euro wetgeving (1990)	Bestelauto - benzine - pre Euro wetgeving (1990)
LBAB1991	Bestelauto - benzine - pre Euro wetgeving (1991)	Bestelauto - benzine - pre Euro wetgeving (1991)
LBAB1992	Bestelauto - benzine - pre Euro wetgeving (1992)	Bestelauto - benzine - pre Euro wetgeving (1992)
LBAB1993	Bestelauto - benzine - pre Euro wetgeving (1993)	Bestelauto - benzine - pre Euro wetgeving (1993)
LBAB1994	Bestelauto - benzine - pre Euro wetgeving (1994)	Bestelauto - benzine - pre Euro wetgeving (1994)
LBABEUR1	Bestelauto - benzine - Euro-1	Bestelauto - benzine - Euro-1
LBABEUR2	Bestelauto - benzine - Euro-2	Bestelauto - benzine - Euro-2
LBABEUR3	Bestelauto - benzine - Euro-3	Bestelauto - benzine - Euro-3
LBABEUR4	Bestelauto - benzine - Euro-4	Bestelauto - benzine - Euro-4
