code	name	description
HA1.1	HA1.1	Grupstal met drijfmest
HA1.10	HA1.10	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.100	HA1.100	Overige huisvestingssystemen
HA1.11	HA1.11	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.12	HA1.12	Ligboxenstal met roostervloer met cassettes in de roosterspleten
HA1.13	HA1.13	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten met afdichtflappen
HA1.14	HA1.14	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten met afdichtkleppen waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.15	HA1.15	Ligboxenstal met V-vormige vloer met gietasfalt in combinatie met een gierafvoerbuis en met mestschuif waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.16	HA1.16	Mechanisch geventileerde stal met een chemisch luchtwassysteem waarvoor voor 20 juli 2018 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.17	HA1.17	Ligboxenstal met V-vormige vloer van geprofileerde vloerelementen in combinatie met een gierafvoerbuis
HA1.18	HA1.18	Ligboxenstal met roostervloer met hellende groeven of hellend gelegd met afdichtkleppen in roosterspleten
HA1.19	HA1.19	Ligboxenstal met geprofileerde hellende vloer met perforaties waarvoor voor 6 mei 2020 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.2	HA1.2	Ligboxenstal met hellende vloer en giergoot
HA1.20	HA1.20	Ligboxenstal met geprofileerde vloer met hellende sleuven en regelmatige mestafstorten met afdichtingen
HA1.21	HA1.21	Ligboxenstal met sleufvloer met in doorsteken, wachtruimte en doorlopen een roostervloer met bolle rubber toplaag en afdichtflappen in roosterspleten
HA1.22	HA1.22	Ligboxenstal met geprofileerde vloer met hellende sleuven met urineafvoergat of met regelmatige mestafstorten met afdichtkleppen
HA1.23	HA1.23	Ligboxenstal met geprofileerde vloer met hellende sleuven, aaneengesloten of met regelmatige mestafstorten met afdichtflappen
HA1.24	HA1.24	Ligboxenstal met vloer met geprofileerde rubber matten met hellend profiel en regelmatige mestafstorten met afdichtflappen waarvoor voor 6 mei 2020 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.25	HA1.25	Ligboxenstal met hellende vloer met geprofileerde rubber matten en centrale giergoot
HA1.26	HA1.26	Ligboxenstal met roostervloer met hellende groeven of hellend gelegd met afdichtkleppen in roosterspleten en vernevelsysteem
HA1.27	HA1.27	Ligboxenstal met roostervloer met rubber matten en composietnokken met hellend profiel en cassettes in roosterspleten
HA1.28	HA1.28	Ligboxenstal met geprofileerde hellende vloer met holtes voor gieropvang en -afvoer aan zijkant waarvoor voor 1 januari 2019 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.29	HA1.29	Ligboxenstal met roostervloer met bolle rubber toplaag
HA1.3	HA1.3	Ligboxenstal met hellende vloer en spoelsysteem
HA1.30	HA1.30	Ligboxenstal met sleufvloer met geprofileerde rubber tegels waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.31	HA1.31	Ligboxenstal met vlakke betonnen vloerplaten met sleuven, voorzien van profiel met 1% hellende groeven richting een centrale giergoot met giergaten en mestverwijdering waarvoor voor 1 december 2022 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.32	HA1.32	Ligboxenstal met geprofileerde rubber oplegsleufvloer met hellende sleuven met gierafvoergaatjes waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.33	HA1.33	Ligboxenstal met dichte geprofileerde vloer met rubbermatten en composietnokken met hellend profiel waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.34	HA1.34	Ligboxenstal met vlakke vloer met rubber sleufvloer, vlakke langssleuven en geprofileerd rubber (hellende V-vorm), groeven en nopjes tussen de langssleuven met vingermestschuif waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht of waarvoor tussen 1 januari 2024 en 26 april 2024 een omgevingsvergunning voor een milieubelastende activiteit is verleend, of, als een vergunning niet nodig was, die rechtmatig in gebruik is genomen voor 26 april 2024
HA1.35	HA1.35	Ligboxenstal met urineopvangstation waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht of waarvoor tussen 1 januari 2024 en 2 juni 2024 een omgevingsvergunning voor een milieubelastende activiteit is verleend, of, als een vergunning niet nodig was, die rechtmatig in gebruik is genomen voor 2 juni 2024
HA1.36	HA1.36	Ligboxenstal met een indrukbare drainerende loopvloer voorzien van een mestschuif, waarbij de urine en mest direct worden gescheiden en apart worden opgeslagen, waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht of waarvoor tussen 1 januari 2024 en 2 oktober 2024 een omgevingsvergunning voor een milieubelastende activiteit is verleend, of, als een vergunning niet nodig was, die rechtmatig in gebruik is genomen voor 2 oktober 2024
HA1.37	HA1.37	Ligboxenstal voorzien van geprofileerde rubberen oplegmatten met ruitprofiel onder 2% afschot naar een centrale giergoot en frequente mestverwijdering met vaste mestschuif, waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht of waarvoor tussen 1 januari 2024 en 2 oktober 2024 een omgevingsvergunning voor een milieubelastende activiteit is verleend, of, als een vergunning niet nodig was, die rechtmatig in gebruik is genomen voor 2 oktober 2024
HA1.38	HA1.38	Natuurlijk geventileerde ligboxenstal met een roostervloer voorzien van inlays met urineafvoergaatjes in de roosterspleten, frequent bevochtigen en schoonzuigen van de vloer door een mestverzamelrobot en een mechanische kelderluchtafzuiging met een chemisch luchtwassysteem (95% emissiereductie)
HA1.39	HA1.39	Ligboxenstal met V-vormige vloer van geprofileerde vloerelementen in een helling van 3,5% in combinatie met een gierafvoerbuis, waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht of waarvoor tussen 1 januari 2024 en 9 maart 2026 een omgevingsvergunning voor een milieubelastende activiteit is verleend, of, als een vergunning niet nodig was, die rechtmatig in gebruik is genomen voor 9 maart 2026
HA1.4	HA1.4	Ligboxenstal met hellende vloer en giergoot met spoelsysteem of roostervloer met spoelsysteem
HA1.5	HA1.5	Ligboxenstal met dichte geprofileerde hellende vloer
HA1.6	HA1.6	Ligboxenstal met dichte hellende vloer met rubber toplaag
HA1.7	HA1.7	Ligboxenstal met sleufvloer
HA1.8	HA1.8	Ligboxenstal met roostervloer met bolle rubber toplaag en afdichtflappen in roosterspleten waarvoor voor 12 april 2017 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA1.9	HA1.9	Ligboxenstal met roostervloer met bolle rubber toplaag
HA2.100	HA2.100	Overige huisvestingssystemen
HA3.1	HA3.1	Stal met hellende roostervloer in combinatie met hellende schijnvloer onder roostervloer waarvoor voor 6 mei 2020 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA3.100	HA3.100	Overige huisvestingssystemen
HA3.2	HA3.2	Stal met volledige roostervloer voorzien van een bolle rubber toplaag en afdichtkleppen in de roosterspleten waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht, of, als deze vergunning niet nodig was, die rechtmatig in gebruik is genomen voor die datum
HA4.100	HA4.100	Overige huisvestingssystemen
HA5.100	HA5.100	Overige huisvestingssystemen
HA6.100	HA6.100	Overige huisvestingssystemen
HB1.100	HB1.100	Overige huisvestingssystemen (beweiden)
HC1.100	HC1.100	Overige huisvestingssystemen
HC2.100	HC2.100	Overige huisvestingssystemen
HC3.100	HC3.100	Overige huisvestingssystemen
HD1.1	HD1.1	Vlakke gecoate keldervloer met mestschuif
HD1.10	HD1.10	Koeldeksysteem (150% koeloppervlakte)
HD1.100	HD1.100	Overige huisvestingssystemen
HD1.11	HD1.11	Hok met conditionering van de ligvloertemperatuur, mestkelders met water- en mestkanaal, voerbak en watervoorziening boven het waterkanaal, mestkanaal met metalen driekant roostervloer met mestspleet, beide kanalen voorzien van een pan met watervulsysteem, dagelijkse mestafvoer uit het mestkanaal en een emitterend mestoppervlakte van ten hoogste 0,062 m2 per dierplaats waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht of, als deze vergunning niet nodig was, dat rechtmatig in gebruik is genomen voor die datum
HD1.2	HD1.2	Gedeeltelijk rooster met spoelgotensysteem
HD1.3.1	HD1.3.1	Volledig rooster
HD1.3.2	HD1.3.2	Gedeeltelijk rooster
HD1.4	HD1.4	Mestband in mestkanaal met metalen driekantrooster
HD1.5.1	HD1.5.1	Oppervlakte mestkanaal ten hoogste 0,13 m2 per dierplaats
HD1.5.2	HD1.5.2	Oppervlakte mestkanaal ten hoogste 0,19 m2 per dierplaats
HD1.6.1	HD1.6.1	Emitterende mestoppervlakte ten hoogste 0,07 m2 per dierplaats, ongeacht groepsgrootte
HD1.6.2	HD1.6.2	Emitterende mestoppervlakte 0,07-0,10 m2 per dierplaats in groepen tot 30 dieren
HD1.6.3	HD1.6.3	Emitterende mestoppervlakte 0,07-0,10 m2 per dierplaats in groepen vanaf 30 dieren zonder spoelgoten
HD1.6.4	HD1.6.4	Emitterende mestoppervlakte 0,07-0,10 m2 per dierplaats in groepen vanaf 30 dieren met spoelgoten
HD1.7	HD1.7	Gedeeltelijk rooster met verkleinde mestoppervlakte
HD1.8	HD1.8	Mestopvang in water met mestafvoersysteem
HD1.9	HD1.9	Volledig rooster met water- en mestkanaal
HD2.1	HD2.1	Spoelgotensysteem, spoelen met dunne mest
HD2.10	HD2.10	Mestpan
HD2.100	HD2.100	Overige huisvestingssystemen
HD2.11	HD2.11	Mestgoot met mestafvoersysteem
HD2.12	HD2.12	Mestpan met water- en mestkanaal
HD2.13	HD2.13	Mestpan met water- en mestkanaal en koelsysteem
HD2.14	HD2.14	Koeldeksysteem (150% koeloppervlakte)
HD2.2	HD2.2	Kunststof schijnvloer met schuif onder rooster
HD2.3	HD2.3	Vlakke gecoate keldervloer met mestschuif
HD2.4	HD2.4	Hellende gecoate keldervloer met giergoot en mestschuif
HD2.5	HD2.5	Ondiepe mestkelders met mest- en waterkanaal
HD2.6	HD2.6	Mestopvang in en spoelen met aangezuurde vloeistof
HD2.7	HD2.7	Mestkanaal en hellende (schijn)vloer onder roostervloer
HD2.8	HD2.8	Schuiven in mestgoot
HD2.9	HD2.9	Waterkanaal met afgescheiden mestkanaal of mestbak
HD3.1	HD3.1	Smalle ondiepe mestkanalen met metalen driekantrooster en rioleringssysteem (individuele huisvesting)
